"Variable","Series_Name","Series_template","Factor","notes","notes_variable"
"Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Oil","Metal Based Durables : Electrical Equipment : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_EEI_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Gas","Metal Based Durables : Electrical Equipment : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_EEI_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Electricity","Metal Based Durables : Electrical Equipment : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_EEI_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Coal","Metal Based Durables : Electrical Equipment : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_EEI_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Biomass Solids","Metal Based Durables : Electrical Equipment : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_EEI_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
"Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Oil","Other Manufacturing : Balance of Manufacturing : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BMF_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Gas","Other Manufacturing : Balance of Manufacturing : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BMF_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Electricity","Other Manufacturing : Balance of Manufacturing : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BMF_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Coal","Other Manufacturing : Balance of Manufacturing : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BMF_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Biomass Solids","Other Manufacturing : Balance of Manufacturing : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_BMF_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
