Variable,Series_Name,Series_template,Factor,notes,notes_variable
Secondary Energy|Electricity|Wind|Offshore,Renewable Energy : Electric Power Sector : Generation : Offshore Wind,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_WND_OFS_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Biogenic Municipal Waste,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_BGM_NA_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Biomass : Cofiring,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_CFR_NA_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Biomass : Dedicated Plants,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_DPE_NA_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Biomass,Renewable Energy : Electric Power Sector : Generation : Wood and Other Biomass,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_WBM_NA_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Solar,Renewable Energy : Electric Power Sector : Generation : Solar Photovoltaic,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_SLR_PHTVL_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Solar,Renewable Energy : Electric Power Sector : Generation : Solar Thermal,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_SLR_THERM_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Wind|Onshore,Renewable Energy : Electric Power Sector : Generation : Wind,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_WND_NA_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Wind|Onshore,Renewable Energy : Electric Power Sector : Generation : Offshore Wind,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_WND_OFS_NA_BLNKWH.A,-1,,
Final Energy,"Energy Use : Delivered : All Sectors : Delivered Energy, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_ALLS_NA_DELE_DELV_NA_QBTU.A,1,,
,"Energy Use : Delivered : All Sectors : Coal Subtotal, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_ALLS_NA_COS_DELV_NA_QBTU.A,1,add to EMF template?,Final Energy|Coal
Final Energy|Electricity,"Energy Use : Delivered : All Sectors : Electricity, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_ALLS_NA_ELC_DELV_NA_QBTU.A,1,,
Final Energy|Buildings|Commercial|Electricity,"Energy Use : Commercial : Electricity, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_COMM_NA_ELC_NA_NA_QBTU.A,1,,
Final Energy|Buildings|Residential|Electricity,"Energy Use : Residential : Electricity, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_RESD_NA_ELC_NA_NA_QBTU.A,1,,
Final Energy|Industry|Electricity,"Energy Use : Industrial : Electricity, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_IDAL_NA_ELC_NA_NA_QBTU.A,1,,
Final Energy|Transportation|Electricity,"Energy Use : Transportation : Electricity, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_TRN_NA_ELC_NA_NA_QBTU.A,1,,
,,,,,
,,,,,
,,,,,
Final Energy|Industry|EInt Mfg|Food products|Biomass Solids,Food Industry : Energy Use : Renewables,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FDP_REB_NA_NA_TRLBTU.A,,assume all renewables are biomass solids,
Final Energy|Industry|EInt Mfg|Food products|Coal,Food Industry : Energy Use : Steam Coal,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FDP_STC_NA_NA_TRLBTU.A,,,
