model	scenario	region	variable	unit	2020	2030	2040
AEO.2020	REF2020	USA	Price|Final Energy|Residential|Electricity	US$2018/GJ	34.33	36.17	35.56
AEO.2020	REF2020	USA	Price|Final Energy|Residential|Gas	US$2018/GJ	9.46	10.37	10.84
AEO.2020	REF2020	USA	Price|Final Energy|Residential|Oil	US$2018/GJ	19.94	26.49	29.81
AEO.2020	REF2020	USA	Price|Final Energy|Transportation|Electricity	US$2018/GJ	32.04	34.68	33.65
AEO.2020	REF2020	USA	Price|Final Energy|Transportation|Gas	US$2018/GJ	12.55	11.43	10.6
AEO.2020	REF2020	USA	Price|Final Energy|Transportation|Oil|Diesel	US$2018/GJ	20.17	22.65	24.67
AEO.2020	REF2020	USA	Price|Final Energy|Transportation|Oil|Gasoline	US$2018/GJ	20.74	22.12	24.5
AEO.2020	REF2020	USA	Price|Final Energy|Transportation|Oil|Jet Fuel	US$2018/GJ	13.65	15.75	18.14
AEO.2020	REF2020	USA	Price|Primary Energy|Coal	US$2018/GJ	1.53	1.52	1.63
AEO.2020	REF2020	USA	Price|Primary Energy|Gas	US$2018/GJ	2.3	3.1	3.26
AEO.2020	REF2020	USA	Price|Primary Energy|Oil	US$2018/GJ	8.81	11.83	14.22
AEO.2020	REF2020	USA	Primary Energy	EJ/yr	106.55	105.38	108.66
AEO.2020	REF2020	USA	Primary Energy|Biomass	EJ/yr	3.28	3.48	3.58
AEO.2020	REF2020	USA	Primary Energy|Coal	EJ/yr	10.78	8.96	8.51
AEO.2020	REF2020	USA	Primary Energy|Fossil	EJ/yr	84.08	80.08	82.17
AEO.2020	REF2020	USA	Primary Energy|Gas	EJ/yr	30.97	30.59	33.2
AEO.2020	REF2020	USA	Primary Energy|Geothermal	EJ/yr	0.06	0.1	0.16
AEO.2020	REF2020	USA	Primary Energy|Hydro	EJ/yr	2.77	2.5	2.43
AEO.2020	REF2020	USA	Primary Energy|Nuclear	EJ/yr	8.75	7.51	7.11
AEO.2020	REF2020	USA	Primary Energy|Oil	EJ/yr	40.39	38.87	38.77
AEO.2020	REF2020	USA	Secondary Energy|Electricity	EJ/yr	14.85	16.12	17.55
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Biomass	EJ/yr	0.16	0.25	0.26
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Coal	EJ/yr	3.24	2.76	2.62
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Gas	EJ/yr	5.59	5.68	6.53
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Geothermal	EJ/yr	0.06	0.1	0.16
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Hydro	EJ/yr	1.05	1.04	1.04
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Nuclear	EJ/yr	2.86	2.45	2.32
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Oil	EJ/yr	0.06	0.03	0.03
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Solar	EJ/yr	0.34	1.32	1.76
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Solar|CSP	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Solar|PV	EJ/yr	0.32	1.31	1.74
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Wind	EJ/yr	1.21	1.87	1.94
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Wind|Offshore	EJ/yr	0	0.13	0.27
AEO.2020	REF2020	USA	Secondary Energy|Electricity|Wind|Onshore	EJ/yr	1.21	1.75	1.68
AEO.2021	REF2021	USA	Capacity|Electricity	GW	1091.18	1293.49	1468.32
AEO.2021	REF2021	USA	Capacity|Electricity|Biomass	GW	3	2.89	2.89
AEO.2021	REF2021	USA	Capacity|Electricity|Coal	GW	219.21	119.71	107.22
AEO.2021	REF2021	USA	Capacity|Electricity|Geothermal	GW	2.46	3.63	5.43
AEO.2021	REF2021	USA	Capacity|Electricity|Hydro	GW	79.2	79.32	79.32
AEO.2021	REF2021	USA	Capacity|Electricity|Nuclear	GW	97.12	76.87	72.45
AEO.2021	REF2021	USA	Capacity|Electricity|Solar	GW	84.48	251.52	372.27
AEO.2021	REF2021	USA	Capacity|Electricity|Solar|CSP	GW	1.76	1.76	1.76
AEO.2021	REF2021	USA	Capacity|Electricity|Solar|PV	GW	48.48	175.41	253.78
AEO.2021	REF2021	USA	Capacity|Electricity|Storage Capacity|PSH	GW	22.78	22.78	22.78
AEO.2021	REF2021	USA	Capacity|Electricity|Wind	GW	127.1	210.09	228.5
AEO.2021	REF2021	USA	Capacity|Electricity|Wind|Offshore	GW	0.03	9.98	23.38
AEO.2021	REF2021	USA	Capacity|Electricity|Wind|Onshore	GW	127.07	200.1	205.11
AEO.2021	REF2021	USA	Emissions|CO2|Energy	Mt CO2/yr	4562.53	4583.55	4595.75
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Coal	Mt CO2/yr	861.15	731.33	652.68
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Buildings	Mt CO2/yr	557.83	570.88	564.95
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Buildings|Commercial	Mt CO2/yr	234.06	255.38	257.91
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect	Mt CO2/yr	483.49	415.81	396.16
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Buildings|Indirect	Mt CO2/yr	1053.98	885.6	851.98
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Buildings|Residential	Mt CO2/yr	323.77	315.49	307.04
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect	Mt CO2/yr	570.48	469.79	455.82
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry	Mt CO2/yr	985.17	1108.14	1182.76
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Aluminum	Mt CO2/yr	14.44	13.7	13.29
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals	Mt CO2/yr	274.06	298.62	320.49
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Cement and lime	Mt CO2/yr	22.22	16.13	12.03
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Food products	Mt CO2/yr	77.75	83.33	87.48
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Glass	Mt CO2/yr	12.12	10.47	9.89
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Iron and steel	Mt CO2/yr	89.6	77.63	67.86
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Paper	Mt CO2/yr	48.39	42.35	38.91
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|Indirect	Mt CO2/yr	374.86	331.07	314.58
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture	Mt CO2/yr	81.43	94.05	104.57
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|Non Mfg|Construction	Mt CO2/yr	73.45	84.34	94.15
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Industry|Non Mfg|Other mining	Mt CO2/yr	81.46	79.14	76.3
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Transportation	Mt CO2/yr	1587.57	1680.23	1665.18
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Demand|Transportation|Indirect	Mt CO2/yr	3.12	7.64	16.3
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Gas	Mt CO2/yr	1675.21	1683.33	1774.25
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Oil	Mt CO2/yr	2015.74	2158.21	2157.78
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Supply|Electricity	Mt CO2/yr	1431.96	1224.31	1182.87
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Supply|Electricity|Coal	Mt CO2/yr	767.19	647.7	572.28
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Supply|Electricity|Gas	Mt CO2/yr	642.69	559.54	594.19
AEO.2021	REF2021	USA	Emissions|CO2|Energy|Supply|Electricity|Oil	Mt CO2/yr	11.65	6.39	5.35
AEO.2021	REF2021	USA	Final Energy	EJ/yr	73.48	80.12	82.93
AEO.2021	REF2021	USA	Final Energy|Buildings	EJ/yr	39.53	39.52	40.54
AEO.2021	REF2021	USA	Final Energy|Buildings|Commercial	EJ/yr	17.6	18.26	18.73
AEO.2021	REF2021	USA	Final Energy|Buildings|Commercial|Electricity	EJ/yr	4.57	5.02	5.31
AEO.2021	REF2021	USA	Final Energy|Buildings|Residential	EJ/yr	21.93	21.26	21.81
AEO.2021	REF2021	USA	Final Energy|Buildings|Residential|Electricity	EJ/yr	5.33	5.55	5.99
AEO.2021	REF2021	USA	Final Energy|Electricity	EJ/yr	13.18	14.38	15.47
AEO.2021	REF2021	USA	Final Energy|Industry	EJ/yr	32.9	36.99	39.37
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Aluminum|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Aluminum|Coal	EJ/yr	0	0	0
